epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,4.129752619197955,3.814351546613476,0.063575,0.1038
2,3.5689125190527675,3.356055489069299,0.14345,0.1847
3,3.2427392242053825,3.097182756737818,0.20405,0.2383
4,3.0222796441647954,2.910898437982873,0.2474,0.2734
5,2.8446183440784294,2.837926058829585,0.282675,0.2915
6,2.700847153465588,2.751755584644366,0.3085,0.3119
7,2.5778581913286884,2.634368836125241,0.33175,0.334
8,2.457985816291346,2.511874352829366,0.3554,0.3581
9,2.3625022831816263,2.4797322237038912,0.379,0.3669
10,2.264888720390515,2.414680622800996,0.39725,0.3839
11,2.1928402680558516,2.398154820067973,0.4118,0.3822
12,2.1074281367250145,2.391802715349801,0.430925,0.3907
13,2.044989587019046,2.343540162979802,0.44265,0.4001
14,1.9665350521715304,2.39080842537216,0.466025,0.3894
15,1.9079215065739787,2.3187297688254827,0.473275,0.4121
16,1.8596928671906932,2.3121236909793903,0.48325,0.4077
17,1.8016178040458752,2.3158249040193195,0.4995,0.4137
18,1.7415357378725045,2.274019549164591,0.511,0.4239
19,1.6996530740024944,2.2434154960173593,0.522375,0.4249
20,1.64726380570628,2.2702199039579947,0.5321,0.4206
21,1.6078957921018997,2.293240778053863,0.54125,0.4192
22,1.5653579311248975,2.2638714283327515,0.5496,0.4254
23,1.518589675236053,2.269393801689148,0.559225,0.4284
24,1.4849367476880742,2.3464645705645597,0.56945,0.4227
25,1.452432508285815,2.331971204733547,0.5781,0.4209
26,1.4142519098501236,2.315375596662111,0.58795,0.4196
27,1.3884811930763075,2.3032712845862666,0.5923,0.4287
28,1.3504227460763705,2.32114918171605,0.6058,0.4299
29,1.3214677267562087,2.3409613189817984,0.610225,0.4298
30,1.2934694015941681,2.345459227320514,0.61425,0.4264
31,1.2679402517815368,2.35298293149924,0.623125,0.432
32,1.2326981166300301,2.3454850383951693,0.631825,0.4333
33,1.2078047809890284,2.382085336914545,0.637025,0.4345
34,1.1998762796862057,2.3892161272749117,0.64025,0.4285
35,1.1778435133897458,2.41152673129794,0.6483,0.4295
36,1.1587640178470184,2.4105248300335074,0.6522,0.4265
37,1.1331742171662302,2.480168644386002,0.65535,0.418
38,1.111336967434746,2.4216582926013803,0.6638,0.4256
39,1.087160854865187,2.429980377607708,0.6703,0.4283
40,1.0736302125949067,2.51046376892283,0.67,0.4143
41,1.056751959430524,2.5134960880762414,0.677,0.4232
42,1.040893235716957,2.4150338233271733,0.682175,0.4283
43,1.0434311310323283,2.505222863788846,0.682275,0.4217
44,1.0090034225116522,2.5533860725692556,0.69115,0.4238
45,1.0019770066578166,2.5689142595363568,0.69325,0.4229
46,0.9784690850078107,2.553932549078253,0.6985,0.4216
47,0.9738101907812369,2.526128910764863,0.701025,0.4251
48,0.9656880351301199,2.5511547553388376,0.703525,0.4277
49,0.9535946973596519,2.6284417472308195,0.704075,0.417
50,0.9425613802081099,2.5605576762670204,0.710725,0.425
