epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_error,val_error
1,4.199840879287963,3.8044518941565406,0.051375,0.1014,0.948625,0.8986
2,3.739954125766937,3.4311112663413903,0.118675,0.1772,0.881325,0.8228
3,3.46855501168833,3.200129228302195,0.16915,0.2191,0.83085,0.7809
4,3.295746810139178,3.0472392824631704,0.19855,0.2421,0.80145,0.7579
5,3.1615120915178294,2.9137331956549537,0.223775,0.2697,0.7762249999999999,0.7303
6,3.0477570786643713,2.7935155886638015,0.24085,0.2899,0.75915,0.7101
7,2.952197673602607,2.7086559790599196,0.259825,0.3136,0.740175,0.6864
8,2.876427412033081,2.6143828283382367,0.270725,0.3254,0.729275,0.6746
9,2.81173305084911,2.583437273773966,0.288225,0.3311,0.711775,0.6689
10,2.747789472817613,2.5717233162892015,0.298625,0.339,0.7013750000000001,0.661
11,2.701347175116737,2.465194960183735,0.308375,0.3614,0.6916249999999999,0.6386000000000001
12,2.655164496967206,2.4275560409207886,0.31815,0.3725,0.6818500000000001,0.6275
13,2.590386114181421,2.395204064212268,0.332875,0.3819,0.667125,0.6181
14,2.569336958205738,2.356639273558991,0.332825,0.3834,0.6671750000000001,0.6166
15,2.5300913077954665,2.329190684270255,0.34325,0.3935,0.65675,0.6065
16,2.4986115583596518,2.325091437448429,0.350325,0.3947,0.649675,0.6053
17,2.4651984235349174,2.297508257853834,0.3588,0.4046,0.6412,0.5953999999999999
18,2.4442222388788535,2.2549666105946407,0.362925,0.4115,0.6370750000000001,0.5885
19,2.422483699771162,2.229571173462687,0.364625,0.4204,0.635375,0.5796
20,2.3927558839511565,2.2265349656720703,0.372925,0.4184,0.627075,0.5816
21,2.371866891940181,2.2004072590719295,0.377,0.4281,0.623,0.5719000000000001
22,2.3456117916411867,2.176453696021551,0.379725,0.4294,0.620275,0.5706
23,2.333086766373997,2.185689870315262,0.3856,0.4254,0.6144000000000001,0.5746
24,2.299935527502919,2.1720293081259427,0.38845,0.4259,0.61155,0.5741
25,2.296587769215861,2.124804277963276,0.391425,0.4436,0.608575,0.5564
26,2.2748430308442527,2.1705721571475647,0.3948,0.4366,0.6052,0.5634
27,2.256864843657984,2.1591679084150095,0.397625,0.4367,0.602375,0.5633
28,2.237194901457229,2.1360760429237464,0.404625,0.4315,0.595375,0.5685
29,2.2237631063491774,2.107296827473218,0.4051,0.448,0.5949,0.552
30,2.220694334743122,2.1419753138023085,0.40845,0.4398,0.59155,0.5602
31,2.204446006887637,2.072353595419775,0.411125,0.4537,0.588875,0.5463
32,2.1911436985856807,2.096489864059641,0.414575,0.4493,0.585425,0.5507
33,2.1757615873227105,2.0784095073048072,0.418875,0.4522,0.581125,0.5478000000000001
34,2.1767876049200185,2.0598813883865934,0.416625,0.4549,0.583375,0.5450999999999999
35,2.164167576704543,2.04951959772955,0.41905,0.4633,0.5809500000000001,0.5367
36,2.1454258764894627,2.056567095503022,0.422975,0.4562,0.577025,0.5438000000000001
37,2.1416548875193246,2.0318852104718172,0.421875,0.4643,0.578125,0.5357000000000001
38,2.1210494254724668,2.0255832294874554,0.426825,0.4612,0.573175,0.5388
39,2.1220621799889465,2.0379680108420457,0.4308,0.4603,0.5691999999999999,0.5397000000000001
40,2.1066819791214915,2.0576364526265785,0.430475,0.4565,0.5695250000000001,0.5435
41,2.0967464873585078,2.0303628942634484,0.434,0.4673,0.5660000000000001,0.5327
42,2.0936838445572046,2.0132023020635677,0.43335,0.469,0.56665,0.531
43,2.088596135282669,2.0216942406907865,0.43865,0.466,0.56135,0.534
44,2.0635649895134827,2.035205447221104,0.440925,0.4641,0.559075,0.5359
45,2.0668822755447973,1.975489599795281,0.4409,0.4771,0.5590999999999999,0.5228999999999999
46,2.0610905135401523,2.015168214146095,0.442175,0.4726,0.557825,0.5274
47,2.062299060745361,1.9967221595063995,0.444325,0.4739,0.5556749999999999,0.5261
48,2.0439124533924433,1.967206389089174,0.44835,0.482,0.55165,0.518
49,2.032755144107075,2.0029382449162156,0.4487,0.4754,0.5513,0.5246
50,2.042588390862218,1.9894100910500636,0.447675,0.4753,0.552325,0.5246999999999999
51,2.0242621948162967,2.0035925530180148,0.450325,0.4757,0.549675,0.5243
52,2.0207798553351015,1.981861728656141,0.44975,0.4783,0.55025,0.5217
53,2.025721711091721,1.9884527966945986,0.44675,0.476,0.55325,0.524
54,2.012626796484755,1.9897528011587602,0.450125,0.4809,0.549875,0.5191
55,1.9988590661710062,1.9793284603312045,0.453325,0.4766,0.546675,0.5234
56,1.9973391530612787,1.9839856805680673,0.453675,0.4793,0.546325,0.5206999999999999
57,1.979159695652727,1.9518425223193592,0.456075,0.4893,0.543925,0.5106999999999999
58,1.9771643842751987,1.9680710895152032,0.459625,0.4813,0.540375,0.5186999999999999
59,1.985943146407033,1.9947885335246218,0.454725,0.4749,0.545275,0.5251
60,1.9836239517687229,1.9835432994214794,0.462025,0.4746,0.537975,0.5254
61,1.9584467906159715,1.997680603703366,0.46595,0.4779,0.53405,0.5221
62,1.9799906887566319,1.9692523041857948,0.458775,0.4833,0.5412250000000001,0.5166999999999999
63,1.962700373448503,1.9445633345012423,0.462225,0.4895,0.537775,0.5105
64,1.9607957571078414,1.9609058853946155,0.46185,0.4839,0.53815,0.5161
65,1.9522133303907352,1.9481750349455242,0.465975,0.4835,0.534025,0.5165
66,1.9412244843979614,1.9403202413003655,0.469875,0.4877,0.530125,0.5123
67,1.9316227119951583,1.9360287687446498,0.4688,0.4899,0.5312,0.5101
