epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_error,val_error
1,4.157170992689773,3.735814882230155,0.057825,0.1142,0.942175,0.8858
2,3.6525583411938847,3.3294063519827928,0.136,0.1936,0.864,0.8064
3,3.3435709583111843,3.049786631065079,0.186975,0.2392,0.813025,0.7608
4,3.1178442197866714,2.857200121577782,0.224725,0.2799,0.7752749999999999,0.7201
5,2.9593762658274594,2.6806072645549532,0.257075,0.3128,0.7429250000000001,0.6872
6,2.8451703920151097,2.6132614220244976,0.280925,0.3255,0.719075,0.6745
7,2.721311510561373,2.4846692507780053,0.305225,0.3576,0.6947749999999999,0.6424000000000001
8,2.6301722899793436,2.4008951941622962,0.324625,0.3805,0.6753750000000001,0.6194999999999999
9,2.540488655193926,2.3483411330211013,0.3403,0.3859,0.6597,0.6141
10,2.462829105389385,2.237123996396608,0.356275,0.4165,0.643725,0.5835
11,2.389729326906296,2.204976724672921,0.374075,0.4116,0.6259250000000001,0.5884
12,2.323588432595372,2.1567664644386193,0.3884,0.4271,0.6115999999999999,0.5729
13,2.2645996481465835,2.1348092691807805,0.396875,0.4319,0.603125,0.5681
14,2.2185393472829946,2.0890299549585656,0.407825,0.4436,0.592175,0.5564
15,2.1559740327798522,2.052624960488911,0.4222,0.4526,0.5778,0.5474
16,2.1090703284778534,2.0032472097420992,0.433575,0.4672,0.566425,0.5327999999999999
17,2.06975829753632,1.9942357162886029,0.441225,0.4706,0.558775,0.5294
18,2.0330743892505145,1.9834987905961048,0.452075,0.4721,0.547925,0.5279
19,1.9958105315796484,1.95559577700458,0.461475,0.4777,0.5385249999999999,0.5223
20,1.9661316905920498,1.9251956411554842,0.4677,0.4878,0.5323,0.5122
21,1.9343040499824304,1.9622810490523712,0.472075,0.4824,0.527925,0.5176000000000001
22,1.8901722579718399,1.8958062190043776,0.483325,0.4947,0.516675,0.5053000000000001
23,1.8622877148393624,1.8724350370938265,0.490575,0.503,0.509425,0.497
24,1.8370092653999694,1.9045570590828038,0.495025,0.4951,0.504975,0.5049
25,1.8182431432766655,1.8468710606611227,0.5016,0.508,0.49839999999999995,0.492
26,1.789296891742621,1.8198188724397104,0.504725,0.5181,0.495275,0.4819
27,1.76144658909819,1.8215233751490145,0.5091,0.5134,0.4909,0.48660000000000003
28,1.7474374683520284,1.8303143872490413,0.51495,0.5115,0.48505,0.48850000000000005
29,1.7111858971202716,1.8199693673773656,0.52185,0.513,0.47814999999999996,0.487
30,1.6889659730009376,1.7942746440066566,0.52825,0.5235,0.47175,0.47650000000000003
31,1.6765441776464542,1.7928471519977232,0.53145,0.527,0.46855,0.473
32,1.6522764614976633,1.8137443473067465,0.533,0.5221,0.46699999999999997,0.4779
33,1.6430095502743707,1.8293417586555965,0.53725,0.5097,0.46275,0.49029999999999996
34,1.6107961308841887,1.785480100897294,0.5469,0.5276,0.45309999999999995,0.47240000000000004
35,1.601112376386746,1.7671333355239676,0.546775,0.5295,0.453225,0.47050000000000003
36,1.566104867587836,1.7793160873123361,0.557775,0.5265,0.442225,0.47350000000000003
37,1.5659635809663766,1.768691677081434,0.55825,0.5314,0.44175,0.4686
38,1.5522235955674046,1.7636987740480448,0.561625,0.5371,0.43837499999999996,0.4629
39,1.5270656343466176,1.7585109834429584,0.565075,0.5365,0.434925,0.4635
40,1.5204607358755775,1.7979335468026656,0.5677,0.5296,0.4323,0.47040000000000004
41,1.5128555587305428,1.7478067301496674,0.571975,0.54,0.428025,0.45999999999999996
42,1.497492457350222,1.7905383608009242,0.574225,0.5283,0.425775,0.4717
